日期,游戏名称,渠道号,新增用户,活跃用户,付费用户,运营流水(元),付费ARPU,活跃ARPU,付费率,次日留存率,三日留存率,七日留存率,数据提示
20171012,王者荣耀,10003901-三星,5664,711949,5617,241912.68,43.06795086,0.33978934,0.0079,0.5339,0.4453,0.3411,
20171012,六龙争霸3D,10003901-三星,4,151,18,9967.4,553.7444444,66.00927152,0.1192,0,0,0,
20171012,保卫萝卜3,10003901-三星,226,3151,26,306.25,11.77884615,0.09719137,0.0083,0.4779,0.3761,0.2212,
20171012,穿越火线-枪战王者,10003901-三星,1292,41730,459,38548.3,83.9832244,0.92375509,0.011,0.4776,0.3584,0.2314,
20171012,全民超神-周年庆,10003901-三星,56,614,3,144.4,48.13333333,0.23517915,0.0049,0.2857,0.1786,0.0893,
20171012,御龙在天手游,10003901-三星,16,657,53,5256.75,99.18396226,8.00114155,0.0807,0.5,0.25,0.125,
20171012,英雄战歌,10003901-三星,3,40,2,290.2,145.1,7.255,0.05,1,0.6667,0.6667,
20171012,封神英雄榜,10003901-三星,4,73,4,298.45,74.6125,4.08835616,0.0548,0.25,0,0,递延
20171012,猎鱼达人,10003901-三星,12,177,4,171,42.75,0.96610169,0.0226,0.4167,0.25,0.0833,
20171012,仙剑奇侠传online,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171012,轩辕传奇,10003901-三星,47,726,146,23809.95,163.0818493,32.79607438,0.2011,0.383,0.2553,0.1489,
20171012,弹弹堂,10003901-三星,69,845,47,1386.6,29.50212766,1.64094675,0.0556,0.3623,0.3043,0.2174,
20171012,梦幻诛仙,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171012,天龙八部,10003901-三星,184,1956,355,41688.65,117.4328169,21.31321575,0.1815,0.4293,0.3587,0.2065,
20171012,龙之谷,10003901-三星,69,998,107,3004.55,28.07990654,3.01057114,0.1072,0.5072,0.4058,0.2174,
20171012,寻仙,10003901-三星,48,468,44,5921.15,134.5715909,12.65202991,0.094,0.4375,0.3542,0.2292,
20171012,乱世王者,10003901-三星,214,2925,279,23022.19,82.51681004,7.87083419,0.0954,0.514,0.4112,0.2944,
20171012,魔法门之英雄无敌：战争纪元,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171012,街头篮球,10003901-三星,195,2357,47,5646.35,120.1351064,2.3955664,0.0199,0.4769,0.3487,0.1795,
20171012,欢乐球吃球,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171012,御史大冒险,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171012,三国群英传-霸王之业,10003901-三星,53,509,54,23275.9,431.0351852,45.72868369,0.1061,0.4717,0.3396,0.283,
20171012,饭局狼人杀,10003901-三星,220,2542,12,327.75,27.3125,0.12893391,0.0047,0.4364,0.3591,0.1955,
20171012,卡片怪兽,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171011,全民突击,10003901-三星,1,471,13,745.75,57.36538462,1.58333333,0.0276,0,0,0,
20171011,战斗吧剑灵,10003901-三星,0,19,0,0,-,0,0,-,-,-,递延
20171011,火影忍者-疾风传,10003901-三星,299,10693,303,22714.16,74.96422442,2.12420836,0.0283,0.4482,0.3378,0.2475,
20171011,天天酷跑3D,10003901-三星,158,512,3,110.2,36.73333333,0.21523438,0.0059,0.2215,0.1772,0.0823,递延
20171011,全民枪王,10003901-三星,0,207,0,0,-,0,0,-,-,-,递延
20171011,魂斗罗：归来,10003901-三星,1260,11622,339,57427.8,169.4035398,4.94130098,0.0292,0.3619,0.2603,0.169,
20171011,全民斗战神,10003901-三星,9,172,15,246.05,16.40333333,1.43052326,0.0872,0.2222,0,0.1111,
20171011,王者荣耀,10003901-三星,5843,717047,6073,266439.09,43.87273012,0.37157828,0.0085,0.546,0.4475,0.3394,
20171011,六龙争霸3D,10003901-三星,1,131,9,6958.75,773.1944444,53.12022901,0.0687,0,0,0,
20171011,保卫萝卜3,10003901-三星,254,3147,25,374.3,14.972,0.11893867,0.0079,0.4921,0.3937,0.1969,
20171011,穿越火线-枪战王者,10003901-三星,1460,42622,399,42467.78,106.4355389,0.99638168,0.0094,0.439,0.3459,0.2336,
20171011,全民超神-周年庆,10003901-三星,57,625,6,225.45,37.575,0.36072,0.0096,0.386,0.2807,0.0877,
20171011,御龙在天手游,10003901-三星,27,653,64,13204.35,206.3179688,20.22105666,0.098,0.3704,0.2593,0.0741,
20171011,英雄战歌,10003901-三星,7,43,0,0,-,0,0,0.4286,0.2857,0,
20171011,封神英雄榜,10003901-三星,4,74,3,205.8,68.6,2.78108108,0.0405,0.5,0.5,0.5,递延
20171011,猎鱼达人,10003901-三星,22,208,4,150.1,37.525,0.72163462,0.0192,0.4091,0.0909,0.2273,
20171011,仙剑奇侠传online,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171011,轩辕传奇,10003901-三星,54,731,152,19814.8,130.3605263,27.10642955,0.2079,0.537,0.4815,0.2963,
20171011,弹弹堂,10003901-三星,73,830,58,2195.7,37.85689655,2.64542169,0.0699,0.4521,0.3562,0.1644,
20171011,梦幻诛仙,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171011,天龙八部,10003901-三星,163,1930,358,51375.15,143.5060056,26.6192487,0.1855,0.4724,0.3067,0.2209,
20171011,龙之谷,10003901-三星,113,1023,102,2883.45,28.26911765,2.8186217,0.0997,0.4867,0.3451,0.1504,
20171011,寻仙,10003901-三星,80,521,49,2473.95,50.48877551,4.74846449,0.094,0.5125,0.4,0.275,
20171011,乱世王者,10003901-三星,199,2929,345,36325.6,105.2915942,12.40204848,0.1178,0.4975,0.397,0.3015,
20171011,魔法门之英雄无敌：战争纪元,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171011,街头篮球,10003901-三星,187,2377,37,3264.43,88.22783784,1.37334034,0.0156,0.4866,0.385,0.2353,
20171011,欢乐球吃球,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171011,御史大冒险,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171011,三国群英传-霸王之业,10003901-三星,51,511,53,13438.4,253.554717,26.29823875,0.1037,0.3529,0.2549,0.1961,
20171011,饭局狼人杀,10003901-三星,235,2569,8,242.25,30.28125,0.09429739,0.0031,0.4681,0.3277,0.2255,
20171011,卡片怪兽,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171010,全民突击,10003901-三星,1,505,13,568.25,43.71153846,1.12524752,0.0257,0,0,0,
20171010,战斗吧剑灵,10003901-三星,0,18,0,0,-,0,0,-,-,-,递延
20171010,火影忍者-疾风传,10003901-三星,330,11322,297,24634.05,82.94292929,2.17576842,0.0262,0.4364,0.3061,0.1667,
20171010,天天酷跑3D,10003901-三星,143,527,1,0.95,0.95,0.00180266,0.0019,0.1608,0.1259,0.035,递延
20171010,全民枪王,10003901-三星,0,217,0,0,-,0,0,-,-,-,递延
20171010,魂斗罗：归来,10003901-三星,1282,11616,353,48516,137.4390935,4.17665289,0.0304,0.3846,0.2777,0.1552,
20171010,全民斗战神,10003901-三星,8,171,10,116.85,11.685,0.68333333,0.0585,0.5,0.125,0,
20171010,王者荣耀,10003901-三星,5986,719084,6581,293715.59,44.63084486,0.40845797,0.0092,0.5441,0.4412,0.3421,
20171010,六龙争霸3D,10003901-三星,2,134,9,3195.8,355.0888889,23.84925373,0.0672,1,0,0,
20171010,保卫萝卜3,10003901-三星,239,3158,23,455.1,19.78695652,0.1441102,0.0073,0.5105,0.364,0.2594,
20171010,穿越火线-枪战王者,10003901-三星,1514,43188,449,26085.35,58.09654788,0.60399532,0.0104,0.4472,0.323,0.2299,
20171010,全民超神-周年庆,10003901-三星,69,641,4,168.15,42.0375,0.26232449,0.0062,0.4203,0.1304,0.0435,
20171010,御龙在天手游,10003901-三星,25,668,54,7009.45,129.8046296,10.49318862,0.0808,0.52,0.36,0.2,
20171010,英雄战歌,10003901-三星,7,37,0,0,-,0,0,0.1429,0,0,
20171010,封神英雄榜,10003901-三星,5,78,3,213.8,71.26666667,2.74102564,0.0385,0.4,0.4,0.4,递延
20171010,猎鱼达人,10003901-三星,21,188,6,1094.4,182.4,5.8212766,0.0319,0.4762,0.1905,0.1429,
20171010,仙剑奇侠传online,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171010,轩辕传奇,10003901-三星,50,743,147,26222.3,178.3829932,35.29246299,0.1978,0.4,0.34,0.26,
20171010,弹弹堂,10003901-三星,85,879,48,732.95,15.26979167,0.83384528,0.0546,0.4235,0.3765,0.2824,
20171010,梦幻诛仙,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171010,天龙八部,10003901-三星,161,1946,340,46860.05,137.8236765,24.08019013,0.1747,0.441,0.3106,0.1739,
20171010,龙之谷,10003901-三星,100,1052,107,6758.9,63.16728972,6.42480989,0.1017,0.45,0.25,0.15,
20171010,寻仙,10003901-三星,74,493,44,2333.95,53.04431818,4.7341785,0.0892,0.5135,0.2973,0.2027,
20171010,乱世王者,10003901-三星,135,2888,341,36324.7,106.5240469,12.57780471,0.1181,0.5556,0.3926,0.3037,
20171010,魔法门之英雄无敌：战争纪元,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171010,街头篮球,10003901-三星,185,2373,50,4468.51,89.3702,1.88306363,0.0211,0.5189,0.4108,0.1622,
20171010,欢乐球吃球,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171010,御史大冒险,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171010,三国群英传-霸王之业,10003901-三星,64,514,42,18777.2,447.0761905,36.53151751,0.0817,0.375,0.2813,0.25,
20171010,饭局狼人杀,10003901-三星,216,2714,11,271,24.63636364,0.09985262,0.0041,0.4352,0.3519,0.1713,
20171010,卡片怪兽,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171009,全民突击,10003901-三星,1,499,10,334.05,33.405,0.66943888,0.02,0,1,0,
20171009,战斗吧剑灵,10003901-三星,0,20,0,0,-,0,0,-,-,-,递延
20171009,火影忍者-疾风传,10003901-三星,373,11486,312,23700.24,75.96230769,2.0634024,0.0272,0.4048,0.2895,0.1716,
20171009,天天酷跑3D,10003901-三星,155,556,3,114,38,0.20503597,0.0054,0.2194,0.1097,0.0645,递延
20171009,全民枪王,10003901-三星,0,204,2,49.4,24.7,0.24215686,0.0098,-,-,-,递延
20171009,魂斗罗：归来,10003901-三星,1298,11641,381,50176.3,131.6963255,4.31030839,0.0327,0.3914,0.282,0.1749,
20171009,全民斗战神,10003901-三星,9,187,10,124.75,12.475,0.6671123,0.0535,0.5556,0.4444,0.2222,
20171009,王者荣耀,10003901-三星,6029,717850,5773,270507.95,46.85743114,0.37683074,0.008,0.5412,0.4357,0.3526,
20171009,六龙争霸3D,10003901-三星,2,131,9,1024.1,113.7888889,7.81755725,0.0687,0.5,0.5,0,
20171009,保卫萝卜3,10003901-三星,217,3169,18,343.95,19.10833333,0.10853582,0.0057,0.5115,0.4194,0.2765,
20171009,穿越火线-枪战王者,10003901-三星,1480,43462,470,37960.45,80.76691489,0.87341701,0.0108,0.4439,0.325,0.2338,
20171009,全民超神-周年庆,10003901-三星,67,613,3,89.3,29.76666667,0.145677,0.0049,0.403,0.2388,0.1045,
20171009,御龙在天手游,10003901-三星,29,660,60,15432.55,257.2091667,23.38265152,0.0909,0.5172,0.2759,0.1724,
20171009,英雄战歌,10003901-三星,7,44,1,6.65,6.65,0.15113636,0.0227,0.2857,0.2857,0,
20171009,封神英雄榜,10003901-三星,5,80,2,393.5,196.75,4.91875,0.025,0,0,0,递延
20171009,猎鱼达人,10003901-三星,15,206,6,273.6,45.6,1.32815534,0.0291,0.4,0.2667,0.3333,
20171009,仙剑奇侠传online,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171009,轩辕传奇,10003901-三星,65,770,149,28261.5,189.6744966,36.70324675,0.1935,0.4308,0.2923,0.1692,
20171009,弹弹堂,10003901-三星,77,892,40,1290.25,32.25625,1.44646861,0.0448,0.4545,0.2468,0.1688,
20171009,梦幻诛仙,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171009,天龙八部,10003901-三星,173,1920,359,47647.9,132.7239554,24.81661458,0.187,0.4509,0.3179,0.185,
20171009,龙之谷,10003901-三星,108,1059,110,6037.4,54.88545455,5.70103872,0.1039,0.3981,0.25,0.1389,
20171009,寻仙,10003901-三星,78,492,53,4009.45,75.65,8.14928862,0.1077,0.4231,0.3718,0.1538,
20171009,乱世王者,10003901-三星,180,2931,348,37440.3,107.587069,12.77389969,0.1187,0.4722,0.4056,0.3389,
20171009,魔法门之英雄无敌：战争纪元,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171009,街头篮球,10003901-三星,206,2426,39,1967.37,50.44538462,0.81095218,0.0161,0.4466,0.2961,0.1942,
20171009,欢乐球吃球,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171009,御史大冒险,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171009,三国群英传-霸王之业,10003901-三星,66,529,40,10535.7,263.3925,19.91625709,0.0756,0.4091,0.3333,0.2576,
20171009,饭局狼人杀,10003901-三星,266,2730,5,128.25,25.65,0.04697802,0.0018,0.4737,0.3271,0.1992,
20171009,卡片怪兽,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171008,全民突击,10003901-三星,2,555,19,856.1,45.05789474,1.54252252,0.0342,0.5,1,1,
20171008,战斗吧剑灵,10003901-三星,0,17,0,0,-,0,0,-,-,-,递延
20171008,火影忍者-疾风传,10003901-三星,599,13303,301,34210.06,113.6546844,2.5716049,0.0226,0.3189,0.2237,0.207,
20171008,天天酷跑3D,10003901-三星,263,821,3,267.9,89.3,0.32630938,0.0037,0.1521,0.0989,0.057,递延
20171008,全民枪王,10003901-三星,0,257,3,56.05,18.68333333,0.21809339,0.0117,-,-,-,递延
20171008,魂斗罗：归来,10003901-三星,1600,12920,506,68431.1,135.2393281,5.29652477,0.0392,0.325,0.235,0.1656,
20171008,全民斗战神,10003901-三星,20,184,13,502.55,38.65769231,2.73125,0.0707,0.4,0.3,0.05,
20171008,王者荣耀,10003901-三星,9192,823304,8670,308025.69,35.52776125,0.3741336,0.0105,0.4148,0.3315,0.3293,
20171008,六龙争霸3D,10003901-三星,2,136,11,1590.3,144.5727273,11.69338235,0.0809,0.5,1,1,
20171008,保卫萝卜3,10003901-三星,358,3512,31,628.9,20.28709677,0.17907175,0.0088,0.3659,0.2626,0.2123,
20171008,穿越火线-枪战王者,10003901-三星,2602,58242,665,52638.15,79.15511278,0.90378335,0.0114,0.3347,0.244,0.2625,
20171008,全民超神-周年庆,10003901-三星,101,837,7,176,25.14285714,0.21027479,0.0084,0.2871,0.1683,0.2277,
20171008,御龙在天手游,10003901-三星,29,654,65,16018.55,246.4392308,24.49319572,0.0994,0.4483,0.1724,0.069,
20171008,英雄战歌,10003901-三星,16,66,0,0,-,0,0,0.3125,0.1875,0.1875,
20171008,封神英雄榜,10003901-三星,2,79,4,190.15,47.5375,2.40696203,0.0506,0,0,0.5,递延
20171008,猎鱼达人,10003901-三星,19,214,4,429.4,107.35,2.00654206,0.0187,0.3684,0.3158,0.2632,
20171008,仙剑奇侠传online,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171008,轩辕传奇,10003901-三星,64,763,150,25635,170.9,33.59764089,0.1966,0.3906,0.2813,0.1719,
20171008,弹弹堂,10003901-三星,115,1089,56,1451.95,25.92767857,1.33328742,0.0514,0.313,0.2522,0.2174,
20171008,梦幻诛仙,10003901-三星,0,0,0,0,-,-,-,-,-,-,
20171008,天龙八部,10003901-三星,164,1916,370,40904.7,110.5532432,21.34900835,0.1931,0.4085,0.2866,0.1768,
20171008,龙之谷,10003901-三星,108,1103,111,7623.72,68.68216216,6.91180417,0.1006,0.4907,0.3333,0.1852,
20171008,寻仙,10003901-三星,91,527,52,4535.45,87.22019231,8.60616698,0.0987,0.4396,0.3297,0.2198,
